listing_id,title,price,area,location,url,scraped_date
,"Schooldijk, Neer",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/neer/object-89395886-schooldijk/?navigateSource=resultlist,2025-06-04 14:09:49
,"Renheide, Leende",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/leende/object-89351863-renheide/?navigateSource=resultlist,2025-06-04 14:09:49
,"Kaumeshoek, Beringe",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/beringe/object-89350173-kaumeshoek/?navigateSource=resultlist,2025-06-04 14:09:49
,"De Remer/Middenpeelweg, Koningslust",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/koningslust/object-89349759-de-remer-middenpeelweg/?navigateSource=resultlist,2025-06-04 14:09:49
,"Achterste Heistraat, Oost West en Middelbeers",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/oost-west-en-middelbeers/object-89316625-achterste-heistraat/?navigateSource=resultlist,2025-06-04 14:09:49
,"Beekseweg ong., Aarle-Rixtel",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/aarle-rixtel/object-43950167-beekseweg-ong/?navigateSource=resultlist,2025-06-04 14:09:49
,"Koeberg, Baarlo (LI)",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/baarlo-li/object-89284933-koeberg/?navigateSource=resultlist,2025-06-04 14:09:49
,"Hildsven, Moergestel",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/moergestel/object-89215082-hildsven/?navigateSource=resultlist,2025-06-04 14:09:49
,"Lageweg, Oosterhout (NB)",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/oosterhout-nb/object-89211969-lageweg/?navigateSource=resultlist,2025-06-04 14:09:49
,"Molenweg, Strijen",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/strijen/object-89211830-molenweg/?navigateSource=resultlist,2025-06-04 14:09:49
,"Arenbos, Heythuysen",€ 57.500 k.k.,,,https://www.fundainbusiness.nl/agrarische-grond/heythuysen/object-89102295-arenbos/?navigateSource=resultlist,2025-06-04 14:09:49
,"Struiken, Maasbree",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/maasbree/object-43606865-struiken/?navigateSource=resultlist,2025-06-04 14:09:49
,"Schalterbergweg, Beekbergen",€ 73.822 k.k.,,,https://www.fundainbusiness.nl/agrarische-grond/beekbergen/object-43679658-schalterbergweg/?navigateSource=resultlist,2025-06-04 14:09:49
,"Hoevenseweg, Velddriel",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/velddriel/object-89900906-hoevenseweg/?navigateSource=resultlist,2025-06-04 14:09:49
,"Hoeksestraat 21-a, Someren",€ 225.000 k.k.,,,https://www.fundainbusiness.nl/agrarische-grond/someren/object-42270740-hoeksestraat-21-a/?navigateSource=resultlist,2025-06-04 14:09:49
