listing_id,title,price,area,location,url,scraped_date,description,neighborhood,features,image_urls,broker_name,broker_phone,broker_email
,"Schooldijk, Neer",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/neer/object-89395886-schooldijk/?navigateSource=resultlist,2025-06-04 14:13:34,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/210/951/350_1440x960.jpg; https://cloud.funda.nl/valentina_media/210/951/364_1440x960.jpg; https://cloud.funda.nl/valentina_media/210/951/355_1440x960.jpg; https://cloud.funda.nl/valentina_media/210/951/361_1440x960.jpg; https://cloud.funda.nl/valentina_media/210/951/353_1440x960.jpg,N/A,N/A,N/A
,"Renheide, Leende",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/leende/object-89351863-renheide/?navigateSource=resultlist,2025-06-04 14:13:42,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/208/903/718_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/903/715_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/903/717_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/903/716_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/903/721_1440x960.jpg,N/A,N/A,N/A
,"Kaumeshoek, Beringe",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/beringe/object-89350173-kaumeshoek/?navigateSource=resultlist,2025-06-04 14:13:50,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/208/825/295_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/825/384_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/825/431_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/825/380_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/825/375_1440x960.jpg,N/A,N/A,N/A
,"De Remer/Middenpeelweg, Koningslust",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/koningslust/object-89349759-de-remer-middenpeelweg/?navigateSource=resultlist,2025-06-04 14:13:58,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/208/358/407_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/358/421_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/358/419_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/358/409_1440x960.jpg; https://cloud.funda.nl/valentina_media/208/358/412_1440x960.jpg,N/A,N/A,N/A
,"Achterste Heistraat, Oost West en Middelbeers",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/oost-west-en-middelbeers/object-89316625-achterste-heistraat/?navigateSource=resultlist,2025-06-04 14:14:06,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/207/327/982_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/327/983_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/327/984_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/327/985_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/327/986_1440x960.jpg,N/A,N/A,N/A
,"Beekseweg ong., Aarle-Rixtel",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/aarle-rixtel/object-43950167-beekseweg-ong/?navigateSource=resultlist,2025-06-04 14:14:15,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/207/259/578_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/260/041_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/260/463_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/261/174_1440x960.jpg; https://cloud.funda.nl/valentina_media/207/261/495_1440x960.jpg,N/A,N/A,N/A
,"Koeberg, Baarlo (LI)",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/baarlo-li/object-89284933-koeberg/?navigateSource=resultlist,2025-06-04 14:14:23,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/205/893/982_1440x960.jpg; https://cloud.funda.nl/valentina_media/205/893/985_1440x960.jpg; https://cloud.funda.nl/valentina_media/205/893/979_1440x960.jpg; https://cloud.funda.nl/valentina_media/205/893/981_1440x960.jpg; https://cloud.funda.nl/valentina_media/205/893/984_1440x960.jpg,N/A,N/A,N/A
,"Hildsven, Moergestel",Verkoop bij inschrijving,,,https://www.fundainbusiness.nl/agrarische-grond/moergestel/object-89215082-hildsven/?navigateSource=resultlist,2025-06-04 14:14:32,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/202/746/026_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/746/028_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/746/025_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/746/029_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/746/050_1440x960.jpg,N/A,N/A,N/A
,"Lageweg, Oosterhout (NB)",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/oosterhout-nb/object-89211969-lageweg/?navigateSource=resultlist,2025-06-04 14:14:41,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/202/614/113_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/586/604_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/586/605_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/586/608_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/586/606_1440x960.jpg,N/A,N/A,N/A
,"Molenweg, Strijen",Prijs op aanvraag,,,https://www.fundainbusiness.nl/agrarische-grond/strijen/object-89211830-molenweg/?navigateSource=resultlist,2025-06-04 14:14:49,N/A,"Omgeving




Treinstation






Bushalte






Supermarkt





Ontdek locaties in de buurt",,https://cloud.funda.nl/valentina_media/202/582/201_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/582/199_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/582/202_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/582/200_1440x960.jpg; https://cloud.funda.nl/valentina_media/202/582/203_1440x960.jpg,N/A,N/A,N/A
