listing_id,title,price,area,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Oppervlakten_Totale oppervlakte,Oppervlakten_Type land,Oppervlakten_Veldkavels,kadastrale_code,eigendomssituatie,Oppervlakten_Grondsoort,Oppervlakten_Grond lengte,Oppervlakten_Grond breedte,Oppervlakten_Huiskavels,Bouw_Mogelijke functie(s)
,Vlietweg,€ 249.000 k.k.,,2323 LG Leiden,https://www.fundainbusiness.nl/agrarische-grond/leiden/object-43974302-vlietweg/?navigateSource=resultlist,2025-06-05 12:17:52,"Landelijk gelegen perceel  naast  Vlietweg 74E  – Leiden   Voor wie houdt  van  rust, ruimte en het buitenleven, bieden wij een  prachtig perceel grond  aan van 1.398 m²,  inclusief een  charmante  schapenschuur  van circa 133 m².  Het perceel ligt aan de rand van het open vogelweidegebied en grenst aan de voorzijde aan de schitterende Vliet.  Een plek waar je het leven in de natuur volop kunt ervaren.  Denk aan grazende schapen, fluitende vogels en de zon die langzaam ondergaat over het land.  …",€ 249.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 13 a 98 ca,Grasland,0 ha 13 a 98 ca,LEIDEN V 2583,0 ha 13 a 98 ca (geheel perceel),,,,,
,Termietergouw 10-bA,Prijs op aanvraag,,1027 AD Amsterdam,https://www.fundainbusiness.nl/agrarische-grond/amsterdam/object-89356446-termietergouw-10-ba/?navigateSource=resultlist,2025-06-05 12:17:56,"Een heerlijke plek  in  het prachtige  buitengebied van  Amsterdam. Op dit perceel  gelegen  direct langs golfterrein Waterland heeft  u de bebouwing van  stadsrand van  Amsterdam-Noord in  het zicht.  Dit perceel  grasland  heeft daarom ook een hoog strategische ligging en kan dan om meerdere redenen interessant zijn om in bezit te hebben. U heeft de mogelijkheid om eigenaar te worden van dit perceel op Amsterdams grondgebied welke nog erfpacht vrij is.  Heeft u een paard of andere dieren, wil …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,AMSTERDAM E 330,0 ha 94 a 10 ca (geheel perceel),Veen,,,,
,Schooldijk,Verkoop bij inschrijving,,6086 NN Neer,https://www.fundainbusiness.nl/agrarische-grond/neer/object-89395886-schooldijk/?navigateSource=resultlist,2025-06-05 12:18:00,"TE KOOP PER  INSCHRIJVING!  Wij bieden  u een  mooi vlak gelegen perceel  cultuurgrond  aan welke middels 3  toeritten  goed  toegankelijk is vanuit de onverharde  wegen  'Schooldijk' en  'Broekweg'  bereikbaar  vanuit  de Heldenseweg  in Neer. Het perceel is omsloten met een sloot welke deels is begroeid. Het perceel is de laatste jaren in gebruik geweest als grasland, maar kan ook in gebruik worden genomen voor akkerbouw of boomteelt. In het perceel is een geregistreerde beregeningsput gelege …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,8 ha 97 a 35 ca,Bouwland en grasland,8 ha 97 a 35 ca,NEER H 177,8 ha 97 a 35 ca (geheel perceel),Klei,,,,
,Kaumeshoek,Prijs op aanvraag,,5986 NA Beringe,https://www.fundainbusiness.nl/agrarische-grond/beringe/object-89350173-kaumeshoek/?navigateSource=resultlist,2025-06-05 12:18:04,"Ondernemers die op  zoek  zijn naar  een perceel  goede zandgrond dat geschikt  is  voor het telen van  diverse  akkerbouw-  en tuinbouwgewassen, opgelet! In Beringe  ligt  een perceel  van  ca.  03.04.52  ha.   Het betreft een mooi gelegen perceel cultuurgrond aan de Kaumeshoek in Beringe welke door zijn omvang voor diverse agrarische doeleinden geschikt is, de grondkwaliteit als goede zandgrond geeft voldoende mogelijkheden om er diverse tuinbouw- en akkerbouwgewassen te telen of voor de boom …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 4 a 52 ca,Bouwland,3 ha 4 a 52 ca,HELDEN S 825,3 ha 4 a 52 ca (geheel perceel),Zand,,,,
,De Remer/Middenpeelweg,Prijs op aanvraag,,5984 NK Koningslust,https://www.fundainbusiness.nl/agrarische-grond/koningslust/object-89349759-de-remer-middenpeelweg/?navigateSource=resultlist,2025-06-05 12:18:09,Wij bieden u  een  mooi perceel  cultuurgrond aan  wat momenteel in gebruik  is  als grasland/weiland. Het perceel is volledig voorzien van  een afrastering en  heeft drie toegangspoorten. Het  perceel is  de  laatste  jaren in gebruik als grasland maar is ook geschikt voor de teelt van diverse soorten akkerbouw- en tuinbouwgewassen of voor de boomteelt. In het perceel is een hoogteverschil aanwezig.  Het perceel is goed bereikbaar vanuit de verharde weg ‘De Remer’ te Koningslust en is omsloten …,Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,2 ha 24 a 50 ca,Bouwland en grasland,2 ha 24 a 50 ca,HELDEN U 3-HELDEN U 203,1 ha 85 a 45 ca (geheel perceel)-0 ha 39 a 5 ca (geheel perceel),Zand,,,,
,Ringdijk 2e bedijking 14-A,Prijs op aanvraag,,3641 PH Mijdrecht,https://www.fundainbusiness.nl/agrarische-grond/mijdrecht/object-89322564-ringdijk-2e-bedijking-14-a/?navigateSource=resultlist,2025-06-05 12:18:12,"Te koop Twee  percelen  cultuurgrond (veengrond)  van 3.09.94  ha groot; goede ontsluiting  en  ontwatering!  De percelen zijn kadastraal bekend gemeente  Mijdrecht, sectie A,  nummer 3568 en 6190.   Deze  aangeboden  kavels  gelegen nabij de Amstel zijn in gebruik geweest als kwekerij. Per heden is het bedrijfserf ingericht ten behoeve van stalling en voorzien ven aan deugdelijke afrastering. Het achterliggende perceel cultuurgrond is in gebruik geweest als tuinland, gedurende de afgelopen jar …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,MIJDRECHT A,2 ha 68 a 40 ca (geheel perceel),Veen,,,,
,Vloedsgraaf,Verkoop bij inschrijving,,6365 EN Schinnen,https://www.fundainbusiness.nl/agrarische-grond/schinnen/object-89321303-vloedsgraaf/?navigateSource=resultlist,2025-06-05 12:18:16,"TE KOOP PER  INSCHRIJVING!  Wij bieden  u een  mooi perceel cultuurgrond aan  welke  goed toegankelijk is vanuit de  verharde weg Vloedsgraaf in  Schinnen. De  grondsoort betreft  lössgrond, het  perceel is  nagenoeg  vlak gelegen en er zijn geen vrijwel stenen in de bodem. Hierdoor is het perceel tevens geschikt voor diverse akkerbouwteelten, waaronder aardappelen, bieten en uien. Het perceel is goed ontsloten middels Vloedsgraaf, welke vervolgens via de Houwnasweg en de Nutherweg goed aanslui …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,1 ha 88 a 90 ca,Bouwland,1 ha 88 a 90 ca,SCHINNEN E 523,1 ha 88 a 90 ca (geheel perceel),Leem,,,,
,Achterste Heistraat,Verkoop bij inschrijving,,5091 JB Oost West en Middelbeers,https://www.fundainbusiness.nl/agrarische-grond/oost-west-en-middelbeers/object-89316625-achterste-heistraat/?navigateSource=resultlist,2025-06-05 12:18:20,"Inschrijven is mogelijk  tot  Vrijdag 27  juni 2025  om 12:00u.  Koop  1)  ZIE PUBLICATIE KANAALDIJK ZUID 7 OOST-, WEST- EN  MIDDELBEERS Agrarisch bouwvlak,  met bedrijfswoning en bedrijfsgebouwen  en aanpalend  gelegen  cultuurgrond.  Tezamen groot circa 9 hectare. Richtprijs € 1.600.000,-- k.k.  Koop 2) Perceel cultuurgrond ca. 3,35 hectare. Ontsloten aan de 'Achterste Heistraat'.  Koop 3) De totaalcombinatie van koop 1 + 2. Tezamen groot 12,35 hectare.  Vraag bij ons de complete brochure op  …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 35 a 0 ca,Bouwland,3 ha 35 a 0 ca,"OOST-, WEST- EN MIDDELBEERS A 1078",3 ha 35 a 0 ca (deelperceel),Zand,400 meter,80 meter,,
,Beekseweg ong.,Verkoop bij inschrijving,,5735 CB Aarle-Rixtel,https://www.fundainbusiness.nl/agrarische-grond/aarle-rixtel/object-43950167-beekseweg-ong/?navigateSource=resultlist,2025-06-05 12:18:23,"VERKOOP BIJ INSCHRIJVING  Bij  deze bieden  wij u  een bosperceel met een  diversiteit  aan flora, gelegen aan de Beekseweg, tegenover Beekseweg  13 en naast  Beekseweg 11 aan, met  een grootte  van  ca.  0,63.23 ha.  Het perceel is te koop per inschrijving.  Het inschrijfformulier kunt u tot en met 10 juni 2025 vóór 13:30 uur inleveren bij: Van Thiel & Van Rooij Notarissen, Brandstraat 11, 5741 GH te Beek en Donk  U kunt het inschrijfformulier opvragen bij ons kantoor via: 0492-661884 of   LIG …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 63 a 23 ca,Bosperceel,0 ha 63 a 23 ca,AARLE-RIXTEL A 1267,0 ha 63 a 23 ca (geheel perceel),,,,,
,Ophoven,Verkoop bij inschrijving,,6101 RA Echt,https://www.fundainbusiness.nl/agrarische-grond/echt/object-43958840-ophoven/?navigateSource=resultlist,2025-06-05 12:18:27,"In het buitengebied  van  Echt bieden  wij u  een perceel landbouwgrond ter  grootte  van 1.54.49 hectare aan.  Het perceel wordt  verkocht per inschrijving.  Richtprijs € 146.000,- kosten  koper. Het  inschrijfformulier  kunt  u uiterlijk 22 mei 2025 tot 12.00 uur inleveren bij Notariskantoor Roerdalen, gevestigd in Sint Odiliënberg aan de Schaapsweg 36, telefoonnummer 0475-537440, in een gesloten envelop met vermelding 'Inschrijving Ophoven'.  Het perceel is ontsloten aan Ophoven. Het perceel …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,1 ha 54 a 49 ca,Grasland,,ECHT AC 1375-ECHT AC 939,1 ha 53 a 59 ca (geheel perceel)-0 ha 0 a 90 ca (geheel perceel),Zavel,,,1 ha 54 a 49 ca,
,Koeberg,Prijs op aanvraag,,5991 NH Baarlo (LI),https://www.fundainbusiness.nl/agrarische-grond/baarlo-li/object-89284933-koeberg/?navigateSource=resultlist,2025-06-05 12:18:31,"TE KOOP AANGEBODEN:  2  percelen bosgrond  gelegen in  de omgeving van Noord-Limburg  nabij  Bovensbos Helden met een totale oppervlakte van 01.16.00 ha.   Namens verkoper  bieden wij twee percelen  bosgrond aan  in  de  regio Helden-Panningen. Het zijn twee bospercelen op zandgrond, met als opstand hoofdzakelijk naaldbomen. Er zijn geen noemenswaardige belendingen te benoemen. De percelen zijn te bereiken middels zandpaden. Dit betreft wandel- dan wel gemotoriseerde paden.  Kadastrale aanduidi …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,HELDEN D 4945-HELDEN D 4946,0 ha 54 a 40 ca (geheel perceel)-0 ha 61 a 60 ca (geheel perceel),Zand,,,,
