listing_id,title,category,price,location,url,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwperiode,Oppervlakten_Oppervlakte,Indeling_Aantal_bouwlagen,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Overdracht_Vraagprijs,Bouw_Bouwjaar,Oppervlakten_Perceel,Parkeergelegenheid_Parkeerplaatsen,Overdracht_Oorspronkelijke_huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Kantoor_oppervlak,Parkeergelegenheid_Parkeerkosten,Oppervlakten_Verkoopvloeroppervlakte,Oppervlakten_Breedte_gevel,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Bouw_Mogelijke_functie(s),Omgeving_Lokale_voorzieningen,Overdracht_Eigendomssituatie,Beleggingsobject_Bruto_huuropbrengst,Beleggingsobject_Huurders,Beleggingsobject_Verhuurd,Oppervlakten_Terrein_oppervlak,Oppervlakten_Draagvermogen,Overdracht_Oorspronkelijke_vraagprijs
43056531,'t Dorp 103,Kantoor,€ 1.475 /mnd,5384 MB Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43056531-t-dorp-103/?navigateSource=resultlist,2025-06-11 11:42:48,"Locatie Het onderhavige  object  is gelegen  aan een  drukbezochte doorgaande weg, naast  Mondhygiëniste  Heesch en Barbershop Edis en fungeert daardoor uitstekend  als zichtlocatie. Dankzij  deze prominente ligging is  het pand  bij  uitstek  geschikt voor bedrijven die veel waarde hechten aan zichtbaarheid en bereikbaarheid. Bovendien is het gelegen in de schil van het centrum, in de nabijheid van diverse voorzieningen zoals supermarkten, winkels en horecagelegenheden.  De bereikbaarheid per  …",€ 1.475 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1971-1980,152 m²,2 bouwlagen,"Airconditioning, inbouwarmaturen, kabelgoten, systeemplafond, toilet, pantry en verwarming",C,Stadscentrum/dorpskern en in woonwijk,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 2000 m tot 3000 m",,,,,,,,,,,,,,,,,,,,,
43733014,Boonakker 18,Kantoor,€ 995.000 k.k.,5384 MG Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43733014-boonakker-18/?navigateSource=resultlist,2025-06-11 11:42:53,"De bijzondere, markante  uitstraling  is absoluut  het eerste  dat opvalt aan deze  vrijstaande  villa. De visie van het gerenommeerde architectenbureau De  Bie en De  Bie straalt echt door  in het  lage  silhouet  met speelse vensters. Tegelijkertijd krijg je ook meteen een mooie indruk van de ruimte die er achter de unieke gevel schuil moet gaan. Het nodigt in alles uit om een kijkje binnen te nemen.  Daar merk je direct dat de eerste verwachtingen allemaal uitkomen. Als je via de representat …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,43 m²,2 bouwlagen,"Te openen ramen, toilet, pantry, verwarming en kamerindeling",A,In woonwijk,,€ 995.000 kosten koper,1992,20 m²,,,,,,,,,,,,,,,,,,
43908473,Molenstraat 56,Kantoor,Huurprijs op aanvraag,5397 EL Lith,https://www.fundainbusiness.nl/kantoor/lith/object-43908473-molenstraat-56/?navigateSource=resultlist,2025-06-11 11:42:57,"Locatie De voor  verhuur  beschikbare kantoorkamers  bevinden zich  in een representatief kantoorverzamelgebouw,  gelegen  op een kleinschalig bedrijventerrein aan een doorgaande weg  in Lith. Het  centrum van Lith ligt  op slechts  enkele  autominuten  afstand. De rustige, groene omgeving wordt voornamelijk gekenmerkt door landerijen en woningen. Op het nabijgelegen bedrijventerrein zijn onder andere BAS Bouwmaterialen en Pauls Verhuur gevestigd.  Object & oppervlakte Dit gebouw heeft een tota …",Huurprijs op aanvraag,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Kantoor,Bestaande bouw,,330 m² (in units vanaf 8 m²),2 bouwlagen,"Airconditioning, mechanische ventilatie, inbouwarmaturen, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",Niet beschikbaar,Landelijk gebied,"Bushalte op minder dan 500 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 5000 m of meer",,1999,,4 niet-overdekte parkeerplaatsen,,,,,,,,,,,,,,,,,
43999795,Cereslaan 10-b,Kantoor,€ 2.400 /mnd,5384 VT Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43999795-cereslaan-10-b/?navigateSource=resultlist,2025-06-11 11:43:01,"Object Aan de  Cereslaan  10B in  Heesch is  een representatieve en luxe  kantoorruimte  beschikbaar. De totale oppervlakte bedraagt ca. 230 m²  en bestaat uit  een ruimte op de  begane grond  van  ca.  60 m² en een ruimte op de tweede verdieping van ca. 170 m². Het pand is hoogwaardig en modern afgewerkt.  Dankzij de efficiënte indeling biedt de totale ruimte plaats aan ca. 15 werkplekken, waarbij de begane grond geschikt is voor 2 tot 4 werkplekken en de tweede verdieping voor 8 tot 12 werkpl …",€ 2.400 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,230 m² (in units vanaf 170 m²),3 bouwlagen,,"A 1,02",,,,2006,,,,,,,,,,,,,,,,,,,
43840310,De Steenbok 1,Kantoor,€ 6.000.000 k.k.,5215 MG Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43840310-de-steenbok-1/?navigateSource=resultlist,2025-06-11 11:43:04,"Als ondernemer op  zoek  naar een  zelfstandig kantoorgebouw  met een gecontracteerd vermogen  van  maar liefst 816 kW?! Lees vooral verder!   Locatie Het in  2006/2007 gebouwde en geheel  vrijstaande bedrijfsgebouw,  is  op  korte afstand gelegen van de hoofdentree van en naar bedrijventerrein De Brand, ten noorden van de provinciale weg N279 en ten oosten van de N2/A2 (afslag nummer 21). De Brand heeft een duidelijke routing en is ruim van opzet; groene zones worden er afgewisseld met waterpa …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2001-2010,3.400 m²,3 bouwlagen,"Inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",A,Bedrijventerrein en kantorenpark,,€ 6.000.000 kosten koper,,4.358 m²,,,,,,,,,,,,,,,,,,
43836385,Groote Vlietlaan 5,Kantoor,€ 19.500 /jr,5245 PA Rosmalen,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43836385-groote-vlietlaan-5/?navigateSource=resultlist,2025-06-11 11:43:08,"TE HUUR Circa  99  m² kantoorruimte  Turn-key opleverniveau!   Bedrijventerrein Groote Vliet  is  gelegen in een groene,  recreatieve  zone  tussen woonwijken De Overlaet en  De  Groote Wielen  in  Rosmalen.  Het  bedrijventerrein is  nog volop in ontwikkeling en zal tussen 10.000 en 25.000 vierkante meter gaan bedragen. Het object heeft door de gunstige ligging een goede attentiewaarde. Het bedrijfscomplex is gebouwd in 2019 en sinds kort hebben Q-Wash Rosmalen, Adrisk en Rako Printing dit ver …",€ 19.500 per jaar,€ 40 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,99 m²,1 bouwlaag,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry en verwarming",A+++++,Landelijk gebied,"Bushalte op minder dan 500 m, NS Intercitystation op 1000 m tot 1500 m en snelwegafrit op minder dan 500 m",,2019,7.235 m²,,,,,,,,,,,,,,,,,,
43803986,De Steenbok 30-32,Bedrijfshal,€ 477.500 /jr,5215 ME Den Bosch,https://www.fundainbusiness.nl/bedrijfshal/den-bosch/object-43803986-de-steenbok-30-32/?navigateSource=resultlist,2025-06-11 11:43:13,"Locatie Bedrijvenpark De  Brand  is een  kwalitatief hoogwaardig  bedrijventerrein aan de oostzijde  van  ‘s-Hertogenbosch. Het park meet  circa  90  ha oppervlakte, waarvan ruim de  helft  uit water  en  groen  bestaat.  De Brand  kenmerkt zich voornamelijk door de grootschalige bedrijven aan de buitenranden van het terrein en de kleine bedrijven in het middengebied. Op het terrein zijn ondermeer Würth, Hager, Interconnect, Fatboy, Super Micro en TriNed gevestigd.   Het pand ligt zeer centraal …",€ 477.500 per jaar,€ 450 per maand (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Bedrijfshal,Bestaande bouw,1991-2000,6.180 m²,2 bouwlagen,Loading docks en overheaddeuren,Niet beschikbaar,Bedrijventerrein,NS Intercitystation op 4000 m tot 5000 m en snelwegafrit op 1500 m tot 2000 m,,,,25 niet-overdekte parkeerplaatsen,€ 475.000 per jaar,5.770 m²,410 m²,"Vanaf € 150,- per parkeerplaats per jaar",,,,,,,,,,,,,
43896493,De Waterman 2,Kantoor,€ 4.950.000 k.k.,5215 MX Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43896493-de-waterman-2/?navigateSource=resultlist,2025-06-11 11:43:16,"Locatie Door de  ligging  pal aan  de A2  heeft de kantorenstrook waar  dit  kantoorgebouw onderdeel van uitmaakt,  de  hoogste  attentiewaarde van de Brand en  kan  daarmee vanuit  de  A2  niet  gemist worden;  ideaal voor de ondernemer die op zoek is naar een gebouw op een zichtlocatie!  Onderhavige gebouw is gelegen op bedrijventerrein De Brand. De Brand is uitstekend bereikbaar via het regionale en nationale wegennetwerk. Op een steenworp afstand zijn de op- en afritten van en naar de A2 ge …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,3.170 m²,4 bouwlagen,"Mechanische ventilatie, topkoeling, inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",A,Bedrijventerrein,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op minder dan 500 m",€ 4.950.000 kosten koper,1999,6.034 m²,100 niet-overdekte parkeerplaatsen,,,,"Vanaf € 500,- per parkeerplaats per jaar (21% BTW van toepassing)",,,,,,,,,,,,,
43887854,Westeind 3,Kantoor,€ 22.500 /jr,5245 NL Rosmalen,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43887854-westeind-3/?navigateSource=resultlist,2025-06-11 11:43:20,"TE HUUR Circa  177  m² kantoorruimte  Turn key  opleverniveau!  Het object  is  gelegen op bedrijventerrein ""De  Overlaet”  in  Rosmalen. “De Overlaet” is een  kleinschalig  bedrijventerrein en  kent  een  diversiteit  aan bedrijven,  zo zijn in de directe omgeving de volgende bedrijven gevestigd: Healthclub Enjoy, Westeind Ruimteverhuur, Oliehandel Bouwmans en GWS dé Schoonmaker.  Kantoorruimte De kantoorruimte is verdeeld over twee bouwlagen. De begane grond beschikt over circa 82 m² kantoorr …",€ 22.500 per jaar,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,177 m²,2 bouwlagen,"Inbouwarmaturen, te openen ramen, kabelgoten, toilet en pantry",B,Bedrijventerrein,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 2000 m tot 3000 m",,1997,1.197 m²,,,,,,,,,,,,,,,,,,
43788638,Walstraat 27,Winkel,€ 1.100 /mnd,5341 CJ Oss,https://www.fundainbusiness.nl/winkel/oss/object-43788638-walstraat-27/?navigateSource=resultlist,2025-06-11 11:43:24,"Ben je op  zoek  naar de  perfecte plek  voor jouw onderneming? Deze  winkelruimte  van 72 m², gelegen in het bruisende winkelgebied  van het Osse  centrum, biedt alles wat  je nodig  hebt  voor  een succesvolle onderneming. Met een uitstekende ligging en tal van mogelijkheden, is deze ruimte ideaal voor diverse bedrijfsactiviteiten.  Oppervlakte +      Winkelruimte: totaal ca. 72 m2  Kenmerken +      Faciliteiten: Het pand beschikt over diverse handige faciliteiten, zoals een ingebouwde koelin …",€ 1.100 per maand,,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Winkel,Bestaande bouw,,72 m²,2 bouwlagen,,A++,Stadscentrum/dorpskern,"Bushalte op minder dan 500 m, busknooppunt op 500 m tot 1000 m en NS Intercitystation op 500 m tot 1000 m",,1952,310 m²,,,,,,72 m²,"5,5 m",Nee,B1,,,,,,,,,
