listing_id,title,category,price,location,url,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Indeling_Aantal_bouwlagen,Energie_Energielabel,Overdracht_Vraagprijs,Bouw_Bouwperiode,Oppervlakten_Perceel,Indeling_Voorzieningen,Omgeving_Ligging,Overdracht_Oorspronkelijke_huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Kantoor_oppervlak,Omgeving_Bereikbaarheid,Parkeergelegenheid_Parkeerplaatsen,Parkeergelegenheid_Parkeerkosten,Bouw_Mogelijke_functie(s),Oppervlakten_Verkoopvloeroppervlakte,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Oppervlakten_Breedte_gevel,Oppervlakten_Draagvermogen,Overdracht_Oorspronkelijke_vraagprijs,Beleggingsobject_Bruto_huuropbrengst,Beleggingsobject_Huurders,Beleggingsobject_Verhuurd
43999795,Cereslaan 10-b,Kantoor,€ 2.400 /mnd,5384 VT Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43999795-cereslaan-10-b/?navigateSource=resultlist,2025-06-11 12:02:56,"Object Aan de  Cereslaan  10B in  Heesch is  een representatieve en luxe  kantoorruimte  beschikbaar. De totale oppervlakte bedraagt ca. 230 m²  en bestaat uit  een ruimte op de  begane grond  van  ca.  60 m² en een ruimte op de tweede verdieping van ca. 170 m². Het pand is hoogwaardig en modern afgewerkt.  Dankzij de efficiënte indeling biedt de totale ruimte plaats aan ca. 15 werkplekken, waarbij de begane grond geschikt is voor 2 tot 4 werkplekken en de tweede verdieping voor 8 tot 12 werkpl …",€ 2.400 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2006,230 m² (in units vanaf 170 m²),3 bouwlagen,"A 1,02",,,,,,,,,,,,,,,,,,,,,
43840310,De Steenbok 1,Kantoor,€ 6.000.000 k.k.,5215 MG Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43840310-de-steenbok-1/?navigateSource=resultlist,2025-06-11 12:03:00,"Als ondernemer op  zoek  naar een  zelfstandig kantoorgebouw  met een gecontracteerd vermogen  van  maar liefst 816 kW?! Lees vooral verder!   Locatie Het in  2006/2007 gebouwde en geheel  vrijstaande bedrijfsgebouw,  is  op  korte afstand gelegen van de hoofdentree van en naar bedrijventerrein De Brand, ten noorden van de provinciale weg N279 en ten oosten van de N2/A2 (afslag nummer 21). De Brand heeft een duidelijke routing en is ruim van opzet; groene zones worden er afgewisseld met waterpa …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,3.400 m²,3 bouwlagen,A,€ 6.000.000 kosten koper,2001-2010,4.358 m²,"Inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",Bedrijventerrein en kantorenpark,,,,,,,,,,,,,,,,
43803986,De Steenbok 30-32,Bedrijfshal,€ 477.500 /jr,5215 ME Den Bosch,https://www.fundainbusiness.nl/bedrijfshal/den-bosch/object-43803986-de-steenbok-30-32/?navigateSource=resultlist,2025-06-11 12:03:05,"Locatie Bedrijvenpark De  Brand  is een  kwalitatief hoogwaardig  bedrijventerrein aan de oostzijde  van  ‘s-Hertogenbosch. Het park meet circa 90 ha oppervlakte,  waarvan ruim de  helft uit water en  groen bestaat.  De  Brand  kenmerkt zich voornamelijk door de grootschalige bedrijven aan de buitenranden van het terrein en de kleine bedrijven in het middengebied. Op het terrein zijn ondermeer Würth, Hager, Interconnect, Fatboy, Super Micro en TriNed gevestigd.   Het pand ligt zeer centraal, di …",€ 477.500 per jaar,€ 450 per maand (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Bedrijfshal,Bestaande bouw,,6.180 m²,2 bouwlagen,Niet beschikbaar,,1991-2000,,Loading docks en overheaddeuren,Bedrijventerrein,€ 475.000 per jaar,5.770 m²,410 m²,NS Intercitystation op 4000 m tot 5000 m en snelwegafrit op 1500 m tot 2000 m,25 niet-overdekte parkeerplaatsen,"Vanaf € 150,- per parkeerplaats per jaar",,,,,,,,,,
43690202,Sterrebos 44,Winkel met showroom|Kantoor,Prijs n.o.t.k.,5344 AM Oss,https://www.fundainbusiness.nl/winkel/oss/object-43690202-sterrebos-44/?navigateSource=resultlist,2025-06-11 12:03:09,"Veelzijdig bedrijfspand op  absolute  A1-locatie   Dit representatieve  bedrijfspand met daarboven meerdere  appartementen,  nog te realiseren, is  gelegen  op  een absolute A1-locatie. Direct naast  het  overdekte winkelcentrum  De  Ruwert  en  tegenover een  toekomstig medisch centrum, vormt deze plek een dynamisch knooppunt waar wonen, winkelen, zorg en bedrijvigheid samenkomen. Dankzij de recentelijke investeringen in winkelcentrum De Ruwert en de continue ontwikkeling van de omgeving, prof …",Huurprijs nader overeen te komen,,Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Bestaande bouw,1972,458 m² (in units vanaf 278 m²),2 bouwlagen,Niet beschikbaar,,,,,Winkelcentrum en in woonwijk,,,,"Bushalte op minder dan 500 m, busknooppunt op 2000 m tot 3000 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 2000 m tot 3000 m",,,Kantoorruimte,278 m²,Nee,A2,,,,,,
41399193,Rossinistraat 36,Kantoor,Prijs n.o.t.k.,5344 AK Oss,https://www.fundainbusiness.nl/kantoor/oss/object-41399193-rossinistraat-36/?navigateSource=resultlist,2025-06-11 12:03:13,"Dit kantoorverzamelgebouw is  gelegen  op een  zichtlocatie met  een snelle route naar  de  toegangswegen en opritten van de snelweg. Het station  Oss-West is op  loopafstand bereikbaar en ook  het winkelcentrum  De  Ruwert  is op loopafstand gelegen.  Dit kantoorpand beschikt op elke verdieping over een pantry en toilet. Op de begane grond zijn een gezamenlijke receptie en koffiehoek te vinden, wat het pand een professionele uitstraling geeft.  Het kantoorpand is ideaal voor bedrijven/zzp'ers  …",Huurprijs nader overeen te komen,€ 45 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1998,770 m² (in units vanaf 15 m²),2 bouwlagen,C,,,800 m²,"Airconditioning, inbouwarmaturen, liften, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",Bedrijventerrein,,,,"Bushalte op minder dan 500 m, NS Intercitystation op minder dan 500 m en snelwegafrit op 1000 m tot 1500 m",,,,,,,,,,,,
89373725,Nieuwstraat 14,Kantoor,Huurprijs op aanvraag,5384 TC Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-89373725-nieuwstraat-14/?navigateSource=resultlist,2025-06-11 12:03:17,"Ondernemers opgelet!   Instapklare,  multifunctionele kantoorruimtes  te huur  in verzamelgebouw. De ruimtes  bevinden  zich op de eerste verdieping van een bedrijfsgebouw  en zijn recent  geheel gemoderniseerd. De gezamenlijke  entree bevindt  zich  op  de begane grond. Via de representatieve ontvangstruimte is de kantoorverdieping te bereiken waar aan een fraaie 'binnenplaats' de kantoren gesitueerd zijn.   Het object is gelegen aan de Nieuwstraat 14C t/m K te Heesch, op bedrijventerrein De B …",Huurprijs op aanvraag,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Kantoor,Bestaande bouw,1998,306 m² (in units vanaf 10 m²),1 bouwlaag,A+,,,,"Airconditioning, inbouwarmaturen, systeemplafond, toilet, pantry en verwarming",Bedrijventerrein,,,,Snelwegafrit op 500 m tot 1000 m,,,,,,,,,,,,
43974254,Het Sterrenbeeld 19,Kantoor,Huurprijs op aanvraag,5215 MK Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43974254-het-sterrenbeeld-19/?navigateSource=resultlist,2025-06-11 12:03:22,"Locatie De voor  verhuur  beschikbare kantoorkamers  zijn gesitueerd  in het representatieve kantoorverzamelgebouw  “Brandpunt”,  dat is gelegen op bedrijventerrein  De  Brand.  Bedrijventerrein de Brand is  centraal  gelegen,  direct aan de A2 (N2)  en de N279; de verbindingsweg naar Veghel en de A50. Sinds 2017 heeft De Brand een tweede ontsluitingsweg, waardoor de bereikbaarheid fors verbeterd is. Er is een goede busverbinding tussen het Centraal Station en De Brand, de bus stopt op 50 meter …",Huurprijs op aanvraag,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2002,28 m² (in units vanaf 17 m²),2 bouwlagen,A,,,,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, systeemplafond, toilet, pantry en verwarming",Bedrijventerrein,,,,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 1000 m tot 1500 m",,,,,,,,,,,,
43967397,Het Sterrenbeeld 17,Kantoor,€ 125 /m²/jaar,5215 MK Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43967397-het-sterrenbeeld-17/?navigateSource=resultlist,2025-06-11 12:03:27,"Locatie De voor  verhuur  beschikbare kantoorvloervelden  zijn gesitueerd  in het representatieve kantoorverzamelgebouw  Brandpunt  's-Hertogenbosch, dat is gelegen  op  bedrijventerrein  De Brand. Bedrijventerrein de Brand  is  centraal gelegen,  direct  aan  de  A2 (N2)  en de N279; de verbindingsweg naar Veghel en de A50. Sinds 2017 heeft De Brand een tweede ontsluitingsweg, waardoor de bereikbaarheid fors verbeterd is. Er is een goede busverbinding tussen het Centraal Station en De Brand, d …",€ 125 per vierkante meter per jaar,€ 50 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2002,200 m²,1 bouwlaag,"A 0,93",,,,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, systeemplafond, toilet, pantry en verwarming",Bedrijventerrein,,,,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 1000 m tot 1500 m",5 niet-overdekte parkeerplaatsen,"Vanaf € 250,- per parkeerplaats per jaar (21% BTW van toepassing)",,,,,,,,,,
43965893,Bosschebaan 64,Kantoor,€ 4.220 /mnd,5384 VZ Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43965893-bosschebaan-64/?navigateSource=resultlist,2025-06-11 12:03:32,"Op een goed  bereikbaar  bedrijventerrein bieden  wij circa  460 m² hoogwaardige kantoorruimte  aan,  verdeeld over de eerste en tweede verdieping van  een representatief bedrijfspand.  De kantoorruimtes zijn ideaal  voor bedrijven  die  op  zoek zijn naar een flexibele en comfortabele werkomgeving, met meerdere afzonderlijke kantoren die kunnen worden gebruikt als vergaderruimtes, werkplekken of directiekantoren.   Oppervlaktes:   + Eerste verdieping: ca. 230 m2 + Tweede verdieping: ca. 230 m2 …",€ 4.220 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1989,460 m²,2 bouwlagen,A+,,,2.437 m²,"Te openen ramen, systeemplafond, toilet, pantry en verwarming",Bedrijventerrein,,,,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 500 m tot 1000 m",,,,,,,,,,,,
43958575,"Leiweg 2-L, Geffen",,,,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43958575-leiweg-2-l/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
