listing_id,url,title,category,price,location,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Oorspronkelijke_huurprijs,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Terrein_oppervlak,Oppervlakten_Kantoor_oppervlak,Oppervlakten_Perceel,Indeling_Aantal_bouwlagen,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Bouw_Mogelijke_functie(s)
43958575,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43958575-leiweg-2-l/?navigateSource=resultlist,"Leiweg 2-L, Geffen",,,,,,,,,,,,,,,,,,,,,,,
43896455,https://www.fundainbusiness.nl/kantoor/geffen/object-43896455-broekstraat-8/?navigateSource=resultlist,"Broekstraat 8, Geffen",,,,,,,,,,,,,,,,,,,,,,,
43994187,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43994187-heesterseweg-11/?navigateSource=resultlist,"Heesterseweg 11, Geffen",,,,,,,,,,,,,,,,,,,,,,,
43983834,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43983834-friezenstraat-12-k/?navigateSource=resultlist,"Friezenstraat 12-K, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
43959759,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43959759-friezenstraat-12-f/?navigateSource=resultlist,"Friezenstraat 12-F, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
43837104,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43837104-friezenstraat-12-x/?navigateSource=resultlist,"Friezenstraat 12-X, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
43807692,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43807692-vliertwijksestraat-47/?navigateSource=resultlist,"Vliertwijksestraat 47, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
43895306,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43895306-vliertwijksestraat-42/?navigateSource=resultlist,"Vliertwijksestraat 42, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
43857997,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43857997-friezenstraat-12-l/?navigateSource=resultlist,"Friezenstraat 12-L, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
89103110,https://www.fundainbusiness.nl/bedrijfshal/oss/object-89103110-amsteleindstraat-27-c/?navigateSource=resultlist,Amsteleindstraat 27-C,Bedrijfshal,€ 2.200 /mnd,5345 HA Oss,2025-06-11 12:10:06,"Super BEREIKBAARHEID en  zeer  ROYAAL!   De bedrijfshal  is gelegen aan de  rand  van Oss, tegen het  buitengebied  aan.   Naast een royaal buitenterrein  aan  de voorzijde  (ca.  200m2)  is  er binnen  beschikking over o.a. een LOODS (ca. 194m2), KANTOOR- en toiletruimte op de begane grond en een ENTRESOL, kantoor, kantine en toilet op de verdieping.   Een grote ROLDEUR biedt een heftruck of vrachtwagen gelegenheid om binnen te rijden en te laden/lossen.  BIJZONDERHEDEN  • BEDRIJFSRUIMTE met E …",€ 2.200 per maand,€ 1.600 per maand,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2001,516 m²,441 m²,200 m²,75 m²,379 m²,2 bouwlagen,Overheaddeuren en toilet,Niet beschikbaar,Landelijk gebied,
43711134,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43711134-kievitsven-34/?navigateSource=resultlist,"Kievitsven 34, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
43755479,https://www.fundainbusiness.nl/bedrijfshal/vinkel-gem-den-bosch/object-43755479-vinkelsestraat-82-b/?navigateSource=resultlist,Vinkelsestraat 82-B,Bedrijfshal|Kantoor,Huurprijs op aanvraag,5383 KM Vinkel (Gem. Den Bosch),2025-06-11 12:10:09,"In een prachtig  gebouw  in het  buitengebied van  ’s-Hertogenbosch gelegen op de  doorgaande  weg tussen Vinkel en Heesch, op 5 auto  minuten van de  snelweg A50 en A59.  Met ca.  10-15  minuten  op de A2 en alle andere uitvalswegen naar alle delen van Nederland. Er is een grote parkeer gelegenheid op eigen terrein.  Bij aankomst valt het mooie en luxe pand op, in dit pand zitten meerdere bedrijven gevestigd, ieder met een eigen entree. Er is voldoende parkeergelegenheid dat fraai is aangelegd …",Huurprijs op aanvraag,,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2002,264 m²,151 m²,,113 m²,,1 bouwlaag,"Overheaddeuren, betonvloer, toilet, pantry, inbouwarmaturen en te openen ramen",Niet beschikbaar,Landelijk gebied,Kantoorruimte
42321167,https://www.fundainbusiness.nl/kantoor/nuland/object-42321167-industriestraat-14/?navigateSource=resultlist,"Industriestraat 14, Nuland",,,,,,,,,,,,,,,,,,,,,,,
43828971,https://www.fundainbusiness.nl/agrarische-grond/vinkel-gem-den-bosch/object-43828971-van-rijckevorselweg/?navigateSource=resultlist,"Van Rijckevorselweg, Vinkel (Gem. Den Bosch)",,,,,,,,,,,,,,,,,,,,,,,
42899150,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-42899150-vinkenveld-6/?navigateSource=resultlist,"Vinkenveld 6, Rosmalen",,,,,,,,,,,,,,,,,,,,,,,
