listing_id,title,category,price,location,url,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Perceel,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Overdracht_Vraagprijs,Overdracht_Servicekosten,Indeling_Aantal_bouwlagen,Bouw_Mogelijke_functie(s),Oppervlakten_Kantoor_oppervlak,Parkeergelegenheid_Parkeerplaatsen,Oppervlakten_Vrije_hoogte,Bouw_Bouwperiode,Overdracht_Oorspronkelijke_huurprijs,Oppervlakten_Terrein_oppervlak,Oppervlakten_Type_land,Oppervlakten_Grond_lengte,Oppervlakten_Grond_breedte,Oppervlakten_Grondsoort,kadastrale_code,eigendomssituatie
43958575,Leiweg 2-L,Bedrijfshal,€ 1.550 /mnd,5386 KR Geffen,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43958575-leiweg-2-l/?navigateSource=resultlist,2025-06-11 14:46:42,"Te huur: Moderne  bedrijfshal  met verdieping  aan de  Leiweg 2L.  Op  zoek  naar een functionele en goed  uitgeruste bedrijfshal? Deze moderne  unit aan  de Leiweg  2L biedt  zowel op  de  begane grond als op de verdieping veel ruimte en is onderdeel van een bedrijfsverzamelgebouw met in totaal negen bedrijfshallen. Met een praktische indeling, uitstekende voorzieningen en een gunstige ligging is deze bedrijfsruimte ideaal voor diverse ondernemers.  Oppervlaktes:  Begane grond: ca. 93m2 Eerste …",€ 1.550 per maand,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2012,199 m²,199 m²,117 m²,"Overheaddeuren, krachtstroom, toilet en pantry",A,In woonwijk,"Bushalte op 2000 m tot 3000 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 4000 m tot 5000 m",,,,,,,,,,,,,,,,
43896455,Broekstraat 8,Kantoor,€ 1.150.000 k.k.,5386 KD Geffen,https://www.fundainbusiness.nl/kantoor/geffen/object-43896455-broekstraat-8/?navigateSource=resultlist,2025-06-11 14:46:46,"Te koop: Broekstraat  8,  8a en  8b te  Geffen.  Bent u  op  zoek naar een plek  waar  wonen,  werken en ontspannen samenkomen in  een  rustige, landelijke  omgeving?  Dit  unieke  object aan  de Broekstraat heeft alles wat u nodig heeft. Het aanbod omvat een ruime bedrijfswoning, diverse flexibele kantoorruimtes, een multifunctionele bedrijfsruimte en een apart appartement, welke extra mogelijkheden biedt. Bovendien beschikt de locatie over een royale, fraai aangelegde tuin die dankzij zorgvul …",,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1977,729 m²,,5.320 m²,"Te openen ramen, toilet, pantry, verwarming en kamerindeling",C,Landelijk gebied,"Bushalte op 2000 m tot 3000 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 4000 m tot 5000 m",€ 1.150.000 kosten koper,Geen servicekosten bekend,2 bouwlagen,,,,,,,,,,,,,
43994187,Heesterseweg 11,Bedrijfshal,€ 3.250 /mnd,5386 KT Geffen,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43994187-heesterseweg-11/?navigateSource=resultlist,2025-06-11 14:46:49,"TE HUUR Heesterseweg  11  | Geffen   Veelzijdige  bedrijfsruimte met kantoor en  parkeerterrein,  bestaande uit circa 168 m²  kantoorruimte  over  twee bouwlagen, circa 285  m²  bedrijfsruimte  en circa 82 m² opslagruimte  op de eerste verdieping, met eigen parkeergelegenheid – de perfecte plek voor groei en ondernemerschap!  ALGEMEEN Aan de Heesterseweg 11 bieden wij een multifunctionele bedrijfsruimte aan, bestaande uit kantoorruimte, bedrijfsruimte en opslag. Het pand, gebouwd in 1992, besch …",€ 3.250 per maand,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1992,535 m²,535 m²,,"Overheaddeuren, toilet en pantry",B,,,,,,,,,,,,,,,,,,
43983834,Friezenstraat 12-K,Bedrijfshal|Kantoor,€ 24.000 /jr,5249 JS Rosmalen,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43983834-friezenstraat-12-k/?navigateSource=resultlist,2025-06-11 14:46:53,"TE HUUR Bedrijfsunit  van  circa 150  m²   Het project is gerealiseerd  aan  de Friezenstraat 12 in Rosmalen,  gelegen  op  bedrijventerrein Kruisstraat te Rosmalen.  Dit  project  omvat in totaal 16 bedrijfsunits,  in oppervlakte variërend van 100 m² tot 150 m² totaal vloeroppervlak.  De te huur aangeboden bedrijfsunit heeft een totale oppervlakte van circa 150 m², bestaande uit circa 55 m² bedrijfsruimte op de begane grond en circa 95 m² kantoorachtige op de verdieping. De ruimte is apart te  …",€ 24.000 per jaar,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2025,55 m²,55 m²,,"Overheaddeuren, betonvloer en toilet",Niet verplicht,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 2000 m tot 3000 m",,,,Kantoorruimte,,,,,,,,,,,,
43959759,Friezenstraat 12-F,Bedrijfshal,€ 16.800 /jr,5249 JS Rosmalen,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43959759-friezenstraat-12-f/?navigateSource=resultlist,2025-06-11 14:46:57,"TE HUUR Bedrijfsunit  van  circa 100  m²   De nieuwbouwunit is gerealiseerd  aan  de Friezenstraat 12 in Rosmalen,  gelegen op bedrijventerrein Kruisstraat  te Rosmalen.  Dit onlangs  gerealiseerde project  omvat in  totaal  16 bedrijfsunits, in oppervlakte variërend van 100 m² tot 145 m² totaal vloeroppervlak.  De te huur aangeboden bedrijfsunit heeft een totale oppervlakte circa 100 m², bestaande uit circa 50 m² bedrijfsruimte op de begane grond en circa 50 m² kantoorachtige ruimte op de verd …",€ 16.800 per jaar,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2025,100 m²,50 m²,,"Overheaddeuren, betonvloer en toilet",Niet verplicht,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 2000 m tot 3000 m",,,1 bouwlaag,,50 m²,1 niet-overdekte parkeerplaats,,,,,,,,,,
43837104,Friezenstraat 12-X,Bedrijfshal,€ 16.800 /jr,5249 JS Rosmalen,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43837104-friezenstraat-12-x/?navigateSource=resultlist,2025-06-11 14:47:01,"TE HUUR Bedrijfsunit  van  circa 110  m²   Het project wordt gerealiseerd  aan  de Friezenstraat 12 in  Rosmalen,  gelegen  op bedrijventerrein Kruisstraat te Rosmalen.  Dit  project omvat  in  totaal  16  bedrijfsunits, in  oppervlakte variërend van 100 m² tot 145 m² totaal vloeroppervlak.  De te huur aangeboden bedrijfsunit bestaat uit circa 110 m².  Er zijn diverse bedrijven gevestigd die actief zijn in (groot)handel, distributie en/of lichte assemblage. Het bedrijventerrein heeft een functi …",€ 16.800 per jaar,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2025,110 m²,110 m²,,"Overheaddeuren, betonvloer en toilet",Niet verplicht,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 2000 m tot 3000 m",,,,,,1 niet-overdekte parkeerplaats,,,,,,,,,,
43807692,Vliertwijksestraat 47,Bedrijfshal,€ 18.000 /jr,5244 NH Rosmalen,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43807692-vliertwijksestraat-47/?navigateSource=resultlist,2025-06-11 14:47:05,"TE HUUR Representatief  bedrijfsobject  aan de  Vliertwijksestraat 47  te Rosmalen  Het  bedrijfsobject  is gelegen op een uitstekende  locatie in Rosmalen. De  omgeving bestaat  uit een  mix van  bedrijfsobjecten en  woningen,  wat zorgt voor een professionele uitstraling en een veilige sfeer.   Object Dit representatieve bedrijfsobject heeft u alles wat u nodig heeft voor uw zakelijke activiteiten. Het pand bestaat uit circa 167 m² bedrijfsruimte op de begane grond en een entresol van circa 8 …",€ 18.000 per jaar,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1987,247 m²,247 m²,1.308 m²,"Lichtstraten, overheaddeuren, krachtstroom, betonvloer en toilet",Niet beschikbaar,In woonwijk,"Bushalte op 500 m tot 1000 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 1000 m tot 1500 m",,,,,,,6 m,,,,,,,,,
43895306,Vliertwijksestraat 42,Kantoor,€ 700 /mnd,5249 RJ Rosmalen,https://www.fundainbusiness.nl/kantoor/rosmalen/object-43895306-vliertwijksestraat-42/?navigateSource=resultlist,2025-06-11 14:47:08,"Locatie Bedrijventerrein Kruisstraat  te  Rosmalen is  gelegen nabij  de A59 ('s-Hertogenbosch-Nijmegen), Op  het  bedrijventerrein zijn diverse bedrijven gevestigd die actief zijn  in (groot)handel, distributie  en/of lichte assemblage. Het  bedrijventerrein heeft  een  functionele  infrastructuur en kent royale percelen.  De meeste bedrijven hebben een lokale tot regionale functie.  - Kantoorruimte gelegen op de eerste verdieping van een modern (en dus goed geïsoleerd) bedrijfsgebouw - Afslui …",€ 700 per maand,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,81 m²,,,"Toilet, pantry en verwarming",Niet beschikbaar,,Bushalte op 500 m tot 1000 m en snelwegafrit op 1000 m tot 1500 m,,€ 100 per maand (21% BTW van toepassing),1 bouwlaag,,,,,2001-2010,,,,,,,,
43857997,Friezenstraat 12-L,Bedrijfshal,€ 240.000 v.o.n.,5249 JS Rosmalen,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43857997-friezenstraat-12-l/?navigateSource=resultlist,2025-06-11 14:47:13,"TE KOOP Bedrijfsunit  van  circa 110  m²   Het project wordt gerealiseerd  aan  de Friezenstraat 12 in Rosmalen,  gelegen op bedrijventerrein Kruisstraat  te Rosmalen.  Dit project  omvat in  totaal 16  bedrijfsunits,  in oppervlakte variërend van 100m² tot 145 m² totaal vloeroppervlak.  De te koop aangeboden bedrijfsunit bestaat uit circa 110 m².  Er zijn diverse bedrijven gevestigd die actief zijn in (groot)handel, distributie en/of lichte assemblage. Het bedrijventerrein heeft een functionel …",,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2025,110 m²,110 m²,,"Overheaddeuren, betonvloer en toilet",Niet verplicht,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 3000 m tot 4000 m en snelwegafrit op 2000 m tot 3000 m",€ 240.000 vrij op naam,,,,,1 niet-overdekte parkeerplaats,,,,,,,,,,
89103110,Amsteleindstraat 27-C,Bedrijfshal,€ 2.200 /mnd,5345 HA Oss,https://www.fundainbusiness.nl/bedrijfshal/oss/object-89103110-amsteleindstraat-27-c/?navigateSource=resultlist,2025-06-11 14:47:18,"Super BEREIKBAARHEID en  zeer  ROYAAL!   De bedrijfshal  is gelegen aan de  rand  van Oss, tegen het buitengebied aan.  Naast  een royaal buitenterrein  aan de voorzijde (ca.  200m2) is  er  binnen  beschikking over o.a. een LOODS (ca. 194m2), KANTOOR- en toiletruimte op de begane grond en een ENTRESOL, kantoor, kantine en toilet op de verdieping.   Een grote ROLDEUR biedt een heftruck of vrachtwagen gelegenheid om binnen te rijden en te laden/lossen.  BIJZONDERHEDEN  • BEDRIJFSRUIMTE met ENKEL …",€ 2.200 per maand,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2001,516 m²,441 m²,379 m²,Overheaddeuren en toilet,Niet beschikbaar,Landelijk gebied,,,,2 bouwlagen,,75 m²,,,,€ 1.600 per maand,200 m²,,,,,,
