listing_id,title,category,price,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Kantoor_oppervlak,Oppervlakten_Vrije_hoogte,Oppervlakten_Vrije_overspanning,Oppervlakten_Perceel,Indeling_Aantal_bouwlagen,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Omgeving_Lokale_voorzieningen,Parkeergelegenheid_Parkeerplaatsen,Overdracht_Huurprijs,Bouw_Mogelijke_functie(s),Oppervlakten_Verkoopvloeroppervlakte,Oppervlakten_Breedte_gevel,Indeling_Woonruimte,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Overdracht_Servicekosten,Oppervlakten_Terrein_oppervlak,Overname_Personeel,Bouw_Soort_horeca,Indeling_Gelegen_op,Oppervlakten_Draagvermogen,Bouw_Paardenboxen,Oppervlakten_Totale_oppervlakte,Oppervlakten_Huiskavels,Woonruimte_Bedrijfswoningen,Woonruimte_Hoofdwoning,Woonruimte_Inhoud,Woonruimte_Bouwjaar,kadastrale_code,eigendomssituatie,Bouw_Aantal_kalveren,Woonruimte_Bouwperiode,Bouw_Bouwperiode,Overdracht_Oorspronkelijke_huurprijs,Overdracht_Oorspronkelijke_vraagprijs,Parkeergelegenheid_Parkeerkosten,Woonruimte_Energielabel,Bouw_Glasopstanden,Oppervlakten_Veldkavels,Oppervlakten_Type_teelt,Overdracht_Eigendomssituatie,Beleggingsobject_Huurders,Beleggingsobject_Verhuurd,Bouw_Ligboxen,Oppervlakten_Grondsoort,Bouw_Opstallen,Bouw_Rijhallen,Oppervlakten_Uitbreidingsmogelijkheden,Bouw_Loodsen,Bouw_Afrasteringen,Bouw_Bebouwingsmogelijkheid,Bouw_Maximale_bouwhoogte,Bouw_Plaatsen_voor_jongvee,Bouw_Melksysteem,Bouw_Opstanden,Beleggingsobject_Bruto_huuropbrengst,Overname_Bedrijfsovername,Oppervlakten_Type_land,Oppervlakten_Grond_lengte,Oppervlakten_Grond_breedte,Oppervlakten_Drainage,Bouw_Aantal_vleesvarkens,Bouw_Vleesvarkensstallen,Oppervlakten_Bouwkavels,Bouw_Aantal_biggen,Bouw_Biggenstallen,Bouw_Opslagschuren,Bouw_Machineloodsen
43940636,Savoor 1-B,Bedrijfshal,€ 1.350.000 k.k.,5541 SK Reusel,https://www.fundainbusiness.nl/bedrijfshal/reusel/object-43940636-savoor-1-b/?navigateSource=resultlist,2025-06-10 11:35:50,Super modern nieuwbouw  bedrijfspand  bestaande uit  3 identieke  hallen!  Drie hallen  van  ca 348 m2 per stuk bestaande uit 275  m² bedrijfsruimte en  13 m² kantoor begane  grond met  60  m2  betonnen opslagverdieping.  De foto's aan de binnenzijde en de floorplanner plattegronden zijn van Savoor 1D. De hallen Savoor 1B en 1C zijn dus hetzelfde.  De 3 hallen zijn momenteel verhuurd. Savoor 1B en 1C zijn verhuurd tot 1 mei 2026 en Savoor 1D is verhuurd tot 1 april 2030. Huuressentialia zijn op …,€ 1.350.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2021,1.044 m²,1.005 m²,39 m²,8 m,11 m,1.863 m²,1 bouwlaag,"Lichtstraten, overheaddeuren, krachtstroom, betonvloer, toilet, pantry, inbouwarmaturen en te openen ramen",Niet verplicht,Bedrijventerrein,"Bushalte op 500 m tot 1000 m, busknooppunt op 1500 m tot 2000 m en snelwegafrit op 5000 m of meer","Ontspanning op minder dan 500 m, restaurant op 1000 m tot 1500 m en winkel op 1500 m tot 2000 m",13 niet-overdekte parkeerplaatsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43940475,Dommel 29,Bedrijfshal,€ 985.000 k.k.,5422 VH Gemert,https://www.fundainbusiness.nl/bedrijfshal/gemert/object-43940475-dommel-29/?navigateSource=resultlist,2025-06-10 11:35:56,"Object Aan de  Dommel  29 in  Gemert bevindt  zich een multifunctioneel bedrijfspand  met  een totale oppervlakte van circa 906 m², bestaande  uit circa 501  m² bedrijfsruimte en circa  405 m²  kantoorruimte,  inclusief  extra kantoorvoorzieningen in de bedrijfshal. Het pand is praktisch ingedeeld, voorzien van een ruime entree en een representatief kantoorgedeelte, en beschikt over een grote roldeur voor eenvoudig laden en lossen. Deze combinatie van werk- en kantoorruimte maakt het object uit …",€ 985.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1999,906 m² (in units vanaf 501 m²),501 m²,405 m²,,,1.310 m²,2 bouwlagen,,A++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43949552,Oostwijk 18,Bedrijfshal,€ 1.950 /mnd,5406 XT Uden,https://www.fundainbusiness.nl/bedrijfshal/uden/object-43949552-oostwijk-18/?navigateSource=resultlist,2025-06-10 11:36:00,"Object Het aangeboden  bedrijfspand  aan de  Oostwijk 18  in Uden betreft een  functioneel  bedrijfsobject met een bedrijfsruimte van circa 350 m²  en beschikt, naast  het parkeerterrein en manouvreerterrein,  over een  ruim  extra  buitenterrein van ca. 475 m², ten behoeve van stalling en/of buitenopslag. Optioneel is circa 50 m² kantoorruimte bij te huren en/of is medegebruik van kantine en toiletten mogelijk. Het pand is onder andere voorzien van een loadingdock en een separate roldeur op ma …",,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1997,400 m²,350 m²,50 m²,,,,1 bouwlaag,,"A 0,99",Bedrijventerrein,,,,€ 1.950 per maand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89301250,St. Janstraat 59,Winkel met showroom|Kantoor,€ 450.000 k.k.,4741 AM Hoeven,https://www.fundainbusiness.nl/winkel/hoeven/object-89301250-st-janstraat-59/?navigateSource=resultlist,2025-06-10 11:36:06,Unieke kans om  wonen  en werken  in het  centrum van Hoeven te  combineren.  Dit woon-/winkelpand heeft de bestemming  Centrum  wat  veel mogelijk maakt.    Het  object  biedt een totale gebruiksoppervlakte van  circa 172 m². Op de begane grond heb je 136 m² gebruiksoppervlakte (inclusief berging). De 1e verdieping biedt circa 45 m² gebruiksoppervlakte.   Deze unieke kans biedt de mogelijkheid om een mooie onderneming te starten én erbij te wonen op een A-locatie in Hoeven. Ook mag het object  …,€ 450.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Bestaande bouw,1950,181 m²,,,,,330 m²,1 bouwlaag,,Niet beschikbaar,Stadscentrum/dorpskern,"Bushalte op minder dan 500 m, NS Intercitystation op 4000 m tot 5000 m en snelwegafrit op 2000 m tot 3000 m",,,,Kantoorruimte,136 m²,"7,4 m","Niet aanwezig, wel mogelijk (inpandig, 0 m²)",Nee,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89395505,Struikhei 6,Bedrijfshal,€ 895.000 k.k.,4714 VB Sprundel,https://www.fundainbusiness.nl/bedrijfshal/sprundel/object-89395505-struikhei-6/?navigateSource=resultlist,2025-06-10 11:36:12,"Een vrijstaande woning  met  vrijstaande bedrijfsruimte, gelegen  op bedrijventerrein  Nijverhei. De woning is  modern  uitgevoerd en uitstekend onderhouden met  een  grote,  fraai aangelegde tuin rondom  de  woning.   Perceeloppervlakte: 2.212 m²   Woonoppervlakte: Ca. 151 m² Ca. 32 m² overige ruimte Ca. 15 m² gebouwgebonden buitenruimte  Inhoud woning: Ca. 680 m³  Bouwjaar: 2001  Aanvaarding: In overleg  Omschrijving van het object:  Indeling woning  Begane grond De begane grond is voorzien v …",€ 895.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2001,234 m²,234 m²,,,,2.212 m²,,"Overheaddeuren, betonvloer, toilet en pantry",A,Bedrijventerrein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89394110,De Vlonder 143,Bedrijfshal,€ 649.000 k.k.,5427 DD Boekel,https://www.fundainbusiness.nl/bedrijfshal/boekel/object-89394110-de-vlonder-143/?navigateSource=resultlist,2025-06-10 11:36:16,Op zoek naar  wonen  en werken  op één  plek? Op bedrijventerrein De  Vlonder  hebben we deze bedrijfswoning  met  bedrijfshal  in verkoop. De woning heeft  maar  liefst 5  slaapkamers  op  de  1e verdieping.  2 slaapkamers zijn ook vanuit de hal bereikbaar en kunnen eventueel ook eenvoudig als bijvoorbeeld kantoorruimte worden ingezet.  De bedrijfshal is bereikbaar via een grote overheaddeur met aan de voorzijde op het perceel ruimte genoeg om te parkeren en te manoeuvreren.  INDELING WONING V …,€ 649.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1997,265 m²,265 m²,,,,1.144 m²,,"Lichtstraten, overheaddeuren, krachtstroom, betonvloer en heater",B,Bedrijventerrein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43938567,Ambachtsweg 1-B,Kantoorruimte,€ 2.750 /mnd,5531 AC Bladel,https://www.fundainbusiness.nl/kantoor/bladel/object-43938567-ambachtsweg-1-b/?navigateSource=resultlist,2025-06-10 11:36:21,"Op zoek naar  een  visitekaartje voor  uw bedrijf?  Dit pand is in  2022  gerenoveerd naar een modern  kantoorpand  met  energielabel A. Op prachtige zichtstand  gelegen  aan de  N284  en  er  zijn voldoende  parkeerplaatsen op eigen terrein. In dit bedrijvencomplex is er extra kantoor- en/of bedrijfsruimte naar behoefte bij te huren.   Extra beschikbaar in dit bedrijvencomplex:  Industrieweg 9 Bladel: bedrijfsruimte 680 m² en kantoorruimte 520 m² voor € 6.600,- per maand.  Ambachtsweg 1B (naas …",,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Kantoorruimte,Bestaande bouw,1963,317 m² (in units vanaf 150 m²),,,,,317 m²,1 bouwlaag,"Airconditioning, inbouwarmaturen, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling",A,Bedrijventerrein en perifere detailhandelsvestigingen,"Bushalte op minder dan 500 m, busknooppunt op 1000 m tot 1500 m en snelwegafrit op 5000 m of meer","Bank op 1000 m tot 1500 m, ontspanning op 1000 m tot 1500 m, restaurant op 1000 m tot 1500 m en winkel op 1000 m tot 1500 m",6 niet-overdekte parkeerplaatsen,€ 2.750 per maand,,,,,,,Geen servicekosten bekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43935413,Doktersdreefje 2,Kantoor,€ 550.000 k.k.,4651 AX Steenbergen (NB),https://www.fundainbusiness.nl/kantoor/steenbergen-nb/object-43935413-doktersdreefje-2/?navigateSource=resultlist,2025-06-10 11:36:26,Wat een unieke  kans  is dit!  Dit monumentale  object maakte onderdeel uit  van  een boerdijcomplex wat gebouwd is  medio  1895.  De architectuur is ook  behouden  gebleven  in de nieuw gebouwde woningen  welke in de omgeving gerealiseerd zijn. Alles sluit harmonieus op elkaar aan. Je werkt hier lekker in het centrum met alle voorzieningen binnen handbereik. Dit geheel is gebouwd op een mooi perceel van maar liefst 590 vierkante meter eigen grond. Met een totaal te gebruiken oppervlakte van zo …,€ 550.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1895,312 m²,,,,,590 m²,3 bouwlagen,"Mechanische ventilatie, systeemplafond, toilet, pantry, verwarming en kamerindeling",Niet beschikbaar,Stadscentrum/dorpskern,"Bushalte op minder dan 500 m, metrohalte op 5000 m of meer, NS Intercitystation op 5000 m of meer, snelwegafrit op 1500 m tot 2000 m en Tramhalte op 5000 m of meer",,,,,,,,,,Geen servicekosten bekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43922399,Schubertlaan 2,Winkel met showroom,€ 425.000 k.k.,5653 EM Eindhoven,https://www.fundainbusiness.nl/winkel/eindhoven/object-43922399-schubertlaan-2/?navigateSource=resultlist,2025-06-10 11:36:31,"Te koop: Beleggingsobject  –  Schubertlaan 2,  Eindhoven Multifunctioneel  hoekpand met verhuurde winkelruimte  en  twee moderne appartementen  Op  een  uitstekend  bereikbare hoeklocatie in Eindhoven,  direct  aan  een levendige winkelstrip, staat dit  keurig onderhouden beleggingsobject. Een aantrekkelijke investering met directe huuropbrengst uit de commerciële ruimte op de begane grond én twee semi-zelfstandige, gemoderniseerde appartementen op de verdiepingen.  Begane grond – Winkelruimte  …",€ 425.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Bestaande bouw,1956,119 m²,,,,,98 m²,3 bouwlagen,,G,Winkelcentrum en in woonwijk,Bushalte op minder dan 500 m en NS Intercitystation op 1000 m tot 1500 m,,,,,98 m²,,,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89383831,Visweg 4,Bedrijfshal,€ 799.000 k.k.,5111 HJ Baarle-Nassau,https://www.fundainbusiness.nl/bedrijfshal/baarle-nassau/object-89383831-visweg-4/?navigateSource=resultlist,2025-06-10 11:36:36,"Op een zeer  goede  locatie gelegen  bedrijfswoning en  multifunctioneel bedrijfspand aan de  Visweg  2 en 4 te Baarle-Nassau.  De  goed  onderhouden vrijstaande bedrijfswoning beschikt  over  een  ruime entree, kelder, woonkamer, eetkeuken,  4 slaapkamers, kantoorruimte, luxe badkamer, een bergzolder en een op het zuidwesten gesitueerde zeer fraai aangelegde tuin met dubbele carport. Het vrijstaand multifunctioneel bedrijfspand met een totale oppervlakte van circa 325 m² is een representatief  …",€ 799.000 kosten koper,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1991,325 m²,325 m²,,,,1.702 m²,,,B,Bedrijventerrein,,,2 overdekte parkeerplaatsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
