listing_id,title,category,price,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Oppervlakten_Perceel,Indeling_Aantal_bouwlagen,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Bouw_Paardenboxen,Oppervlakten_Totale_oppervlakte,Oppervlakten_Huiskavels,Woonruimte_Bedrijfswoningen,Woonruimte_Hoofdwoning,Woonruimte_Inhoud,Woonruimte_Bouwjaar,kadastrale_code,eigendomssituatie,Overdracht_Huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Terrein_oppervlak,Oppervlakten_Kantoor_oppervlak,Overdracht_Oorspronkelijke_vraagprijs,Parkeergelegenheid_Parkeerplaatsen,Parkeergelegenheid_Parkeerkosten,Bouw_Bouwperiode,Oppervlakten_Verkoopvloeroppervlakte,Oppervlakten_Breedte_gevel,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Overdracht_Oorspronkelijke_huurprijs,Overname_Bedrijfsovername,Overname_Personeel,Bouw_Soort_horeca,Indeling_Gelegen_op,Oppervlakten_Vrije_hoogte
43921386,Kastanjelaan 14,Kantoor,€ 1.600.000 k.k.,5268 CA Helvoirt,https://www.fundainbusiness.nl/kantoor/helvoirt/object-43921386-kastanjelaan-14/?navigateSource=resultlist,2025-06-10 11:29:41,"TE KOOP Uniek  object  met een  prachtige uitstraling!  Vrijstaande voormalige pastorie   Welkom  bij deze unieke kans om  eigenaar te worden van  een stukje  geschiedenis. Kastanjelaan  14 is  een voormalige  R.K.  pastorie uit 1852, gelegen naast de neogotische H. Nicolaaskerk in het pittoreske Helvoirt. Dit rijksmonument combineert historische allure met authentieke details binnen met hedendaags comfort en biedt een uitzonderlijke werk-/ woonervaring in een groene en rustige omgeving.  Omstr …",€ 1.600.000 kosten koper,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1852,705 m²,4.000 m²,4 bouwlagen,"Airconditioning, te openen ramen, toilet, pantry en verwarming",Niet beschikbaar,In woonwijk,"Bushalte op minder dan 500 m, NS Intercitystation op 5000 m of meer en snelwegafrit op 5000 m of meer",,,,,,,,,,,,,,,,,,,,,,,,,,,
43928345,Theereheide 6,Paardenhouderij,€ 1.800.000 k.k.,5271 VN Sint-Michielsgestel,https://www.fundainbusiness.nl/agrarisch-bedrijf/sint-michielsgestel/object-43928345-theereheide-6/?navigateSource=resultlist,2025-06-10 11:29:46,"Deze sfeervolle woonboerderij  is  gelegen op  een unieke  locatie met een schitterend  uitzicht,  in een rustige en landelijke  omgeving. Hier geniet u  van een  prachtige plek  omringd door  de natuur  én  toch met de nabijheid van een levendige woonwijk met alle dagelijkse voorzieningen én de A2.   Met alle faciliteiten voor het houden van paarden aan huis is dit object onder de rook van het gezellige ‘s-Hertogenbosch perfect voor de (semi)professionele paardenliefhebber.   De ideale combina …",€ 1.800.000 k.k.,,Log in om te bekijken,Beschikbaar,In overleg,Paardenhouderij,Bestaande bouw,,,,,,,,,7,3 ha 4 a 70 ca,3 ha 4 a 70 ca,1,,Inhoud 1.112 m³ Bouwjaar 1950,1.112 m³,SINT MICHIELSGESTEL E 3479-SINT MICHIELSGESTEL E 4262-SINT MICHIELSGESTEL E 4720,1 ha 21 a 20 ca (geheel perceel)-1 ha 35 a 90 ca (geheel perceel)-0 ha 47 a 60 ca (geheel perceel),,,,,,,,,,,,,,,,,,
,"Willemsplein 2, Den Bosch","Kantoor|Kantoorruimte, Regus Bastion",vanaf € 94 /m²/jaar,,https://www.fundainbusiness.nl/alle-bedrijfsaanbod/den-bosch/project-43586800-regus-bastion/?navigateSource=resultlist,2025-06-10 11:30:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41689298,Deutersestraat 18,Bedrijfshal,Huurprijs op aanvraag,5266 AX Cromvoirt,https://www.fundainbusiness.nl/bedrijfshal/cromvoirt/object-41689298-deutersestraat-18/?navigateSource=resultlist,2025-06-10 11:30:05,"TE HUUR Circa  1.895  m² showroom  Circa 155  m² kantoorruimte Circa 295  m²  buitenterrein Deelverhuur is mogelijk. Vraag  ons kantoor naar de  mogelijkheden.   Het bedrijfscomplex  is gesitueerd  in een  landelijke  omgeving aan de Deutersestraat 18 te Cromvoirt recht tegenover de nieuwe golfbaan Bernardus.   Cromvoirt is een dorp gelegen tussen Vught en 's-Hertogenbosch. In Cromvoirt zijn o.a. de volgende bedrijven gevestigd: Gebr. Van Esch Bosbedrijf en Wegenbouw BV, Laspunt Brabant, Firma  …",,,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2000,2.050 m²,12.736 m²,2 bouwlagen,"Lichtstraten, overheaddeuren, betonvloer en toilet",Niet beschikbaar,Landelijk gebied,"Bushalte op minder dan 500 m, NS Intercitystation op 500 m tot 1000 m en snelwegafrit op minder dan 500 m",,,,,,,,,,Huurprijs op aanvraag,1.895 m²,295 m²,155 m²,,,,,,,,,,,,,,
40185582,Onderwijsboulevard 219,Kantoor,€ 1.650.000 k.k.,5223 DE Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-40185582-onderwijsboulevard-219/?navigateSource=resultlist,2025-06-10 11:30:09,"Locatie De Westertoren,  waar  het object  onderdeel vanuit  maakt, ligt aan de  Onderwijsboulevard  in het hart van het  Paleiskwartier. Het Paleiskwartier in  Den Bosch  is de  toplocatie voor  juridische, financiële  en  zakelijke dienstverlening en kennisinstellingen en grenst direct aan de westkant van het Centraal Station. Via de Stations-passerelle of de Paleisbrug over het spoor, loopt men binnen enkele minuten de Bossche binnenstad in. De randweg die het Paleiskwartier verbindt met de  …",€ 1.650.000 kosten koper,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2003,720 m²,,1 bouwlaag,"Airconditioning, mechanische ventilatie, topkoeling, inbouwarmaturen, te openen ramen, kabelgoten, systeemplafond, toilet, pantry, verwarming en kamerindeling","A 0,94",Kantorenpark en stationslocatie,"Bushalte op minder dan 500 m, NS Intercitystation op 500 m tot 1000 m en snelwegafrit op 2000 m tot 3000 m",,,,,,,,,,,,,,€ 1.800.000 kosten koper,,,,,,,,,,,,,
43946584,Willemsplein 2-10,Kantoor,€ 225 /m²/jaar,5211 AK Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43946584-willemsplein-2-10/?navigateSource=resultlist,2025-06-10 11:30:14,"Willemsplein 10 te  ‘s-Hertogenbosch   ALGEMEEN  Aan het  Willemsplein 10 te ’s-Hertogenbosch  komt  een representatieve zelfstandige hoekunit van  circa  115  m² beschikbaar op de  begane  grond  van het complex.  De  kantoorruimte beschikt over een energielabel A+.   PARKEREN  Bij de kantoorruimte kunnen een tweetal parkeerplaatsen gehuurd worden. Het totale complex beschikt over een ondergrondse parkeergarage, welke is gelegen aan de achterzijde van het kantorencomplex. Via de Lekkerbeetjess …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,Beschikbaar per 15-7-2025,Kantoor,Bestaande bouw,2006,115 m²,,7 bouwlagen,"Topkoeling, inbouwarmaturen, toilet, pantry en verwarming",A+,,,,,,,,,,,,€ 225 per vierkante meter per jaar,,,,,2 overdekte parkeerplaatsen,"Vanaf € 1.350,- per parkeerplaats per jaar (21% BTW van toepassing)",,,,,,,,,,,
43939068,Industrieweg 5-B,Kantoor,€ 115 /m²/jaar,5262 GJ Vught,https://www.fundainbusiness.nl/kantoor/vught/object-43939068-industrieweg-5-b/?navigateSource=resultlist,2025-06-10 11:30:18,"Algemeen Nette kantoorruimte  gelegen  op de  tweede verdieping.  De totale oppervlakte bedraagt  ca.  115 m², alsmede het gebruik  van  2  (twee) parkeerplaatsen.  Opleveringsniveau  De  ruimte  is licht, fris en instapklaar.  De indeling is praktisch en omvat onder andere een eigen pantry (volledig uitgerust), gescheiden toiletruimten en een individueel regelbare airco/verwarming. Daarnaast beschikt het kantoor over een eigen balkon, perfect voor een korte pauze in de buitenlucht. De aanwezig …",,€ 12 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2007,115 m²,,3 bouwlagen,,A,,,,,,,,,,,,€ 115 per vierkante meter per jaar,,,,,,,,,,,,,,,,,
43924165,Willemsplein 2,Kantoor,€ 195 /m²/jaar,5211 AK Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43924165-willemsplein-2/?navigateSource=resultlist,2025-06-10 11:30:21,"TE HUUR Willemsplein  2-4  | 's-Hertogenbosch   Bastion  Heerlijke kantoorunit, vol stijl  en  charme van circa 960 m² (inclusief toebedeling algemene  ruimte), gelegen op  de derde verdieping van  het markante  kantoorverzamelgebouw  ""Bastion"".   Het is een open en lichte kantoorruimte, perfect om een fijne werkplek te creëren.  LOCATIE & BEREIKBAARHEID De snelwegen (A2 en A59) zijn binnen enkele autominuten goed bereikbaar. Ook het stadscentrum is via de diverse toegangswegen eenvoudig te ber …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1951,960 m²,,1 bouwlaag,,Niet beschikbaar,,,,,,,,,,,,€ 195 per vierkante meter per jaar,,,,,18 overdekte parkeerplaatsen,"Vanaf € 1.450,- per parkeerplaats per jaar (21% BTW van toepassing)",,,,,,,,,,,
43927982,Molenstraat 2-B,Kantoor,€ 4.000 /mnd,5262 ED Vught,https://www.fundainbusiness.nl/kantoor/vught/object-43927982-molenstraat-2-b/?navigateSource=resultlist,2025-06-10 11:30:24,"TE HUUR Molenstraat  2B|  Vught   Verhuur van  een hoogwaardige kantoorruimte!   ALGEMEEN  Aan de Molenstraat 2B te  Vught komt een representatieve  kantoorruimte van  ca 300  m² beschikbaar  voor verhuur,  gelegen  op begane grond van een het object.  De kantoorruimte maakt deel uit van een ruim perceel en beschikt over zeven eigen parkeerplaatsen op het bijbehorende terrein. Deze combinatie van bereikbaarheid, parkeergelegenheid en professionele uitstraling maakt het object geschikt voor bedr …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1984,300 m²,,1 bouwlaag,,A,,,,,,,,,,,,€ 4.000 per maand,,,,,7 niet-overdekte parkeerplaatsen,,,,,,,,,,,,
43914228,Taalstraat 40,Kantoor,€ 145 /mnd,5261 BE Vught,https://www.fundainbusiness.nl/kantoor/vught/object-43914228-taalstraat-40/?navigateSource=resultlist,2025-06-10 11:30:31,"€ 145,- per  m2,  per maand  excl. BTW   Zeer nette kantoorruimte,  een  pent-office aan een doorgaande weg  in Vught, nabij de  op-en afritten  van de  snelweg A2  (Amsterdam-Eindhoven).   De  complete kantoounit wordt aangeboden met 5 eigen parkeerplaatsen op de naast het gebouw gelegen parkeerterrein.  De kantoorruimte heeft een nagenoeg turn-key oplevering niveau. De foto’s in de bijlage spreken voor zich ! Wij vernemen graag wanneer u een kijkje wil komen nemen !  Bereikbaarheid Met eigen- …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,Beschikbaar per 1-8-2025,Kantoor,Bestaande bouw,,210 m²,,1 bouwlaag,,Niet beschikbaar,,,,,,,,,,,,€ 145 per maand,,,,,,,1981-1990,,,,,,,,,,
